0h,24h,48h
0.0007717,0.0010075,0.0021865
0.00075027,0.0010825,0.0023687
0.00084673,0.0012862,0.0021008
0.00076099,0.0010397,0.0016935
0.00076099,0.001254,0.0022294
0.00080386,0.0010289,0.0020364
0.00085745,0.0012004,0.0021008
0.00082529,0.0010182,0.0021008
0.0007717,0.0011468,0.0020686
0.00079314,0.0010075,0.0021436
0.0007717,0.001254,0.0023044
0.00080386,0.0012004,0.0022508
0.00075027,0.0011254,0.0025831
0.00079314,0.0011254,0.002433
0.00076099,0.0010718,0.0023687
0.00073955,0.00093248,0.0020686
0.00075027,0.0010932,0.0023365
0.00082529,0.001104,0.0022508
0.00080386,0.0010397,0.0027653
0.00085745,0.0011254,0.0026795
0.00084673,0.0011361,0.0023473
0.00082529,0.0011468,0.0022937
0.00085745,0.0012004,0.0026045
0.00081458,0.00096463,0.0023365
0.00087889,0.0013183,0.0028081
0.0010289,0.0014577,0.0023044
0.00091104,0.0012647,0.0025295
0.00091104,0.0011361,0.0024652
0.00081458,0.0010289,0.0022722
0.00062165,0.0010397,0.0024759
0.00075027,0.00090032,0.0019507
0.00092176,0.0010075,0.0020364
0.00087889,0.0010825,0.0020043
0.00085745,0.00093248,0.0023473
0.00079314,0.00096463,0.0021436
0.00091104,0.0010718,0.0023151
0.00093248,0.0010289,0.0017792
0.00078242,0.0011897,0.00209
0.00080386,0.0011361,0.0018757
0.00085745,0.0010932,0.002015
0.00078242,0.0010504,0.0020472
0.00078242,0.0012326,0.0022937
0.00083601,0.0010825,0.0020472
0.0007717,0.0011683,0.0021758
0.00085745,0.0011897,0.0022508
0.00085745,0.0010397,0.0023258
0.00092176,0.0010504,0.0022186
0.00095391,0.0012326,0.0021758
0.00081458,0.0011468,0.0022508
0.00087889,0.001254,0.0022401
0.00083601,0.0012219,0.002283
0.00090032,0.0011468,0.0022615
0.00094319,0.0011683,0.0024009
0.0008896,0.0011897,0.0025723
0.00075027,0.0011576,0.0019721
0.00079314,0.0012219,0.0018435
0.00070739,0.0012433,0.0019507
0.00075027,0.0011897,0.0016827
0.00080386,0.0010932,0.0021115
0.00085745,0.0011683,0.0020364
0.00085745,0.001179,0.0018864
0.00064309,0.0011361,0.0021543
0.00075027,0.0011147,0.0021651
0.00081458,0.0011468,0.0018328
0.00078242,0.0012755,0.0021008
0.00085745,0.001254,0.0024544
0.00085745,0.0012111,0.0023044
0.00082529,0.0011361,0.0024223
0.00078242,0.0011897,0.0027224
0.00075027,0.0013183,0.0024437
0.00082529,0.00098607,0.0027546
0.00079314,0.0012111,0.0028832
0.00085745,0.0010932,0.0027331
0.0008896,0.0010825,0.0027653
0.00075027,0.0012326,0.0021758
0.00081458,0.0012969,0.0025402
0.00094319,0.0013183,0.0024652
0.00082529,0.0011468,0.0024223
0.00090032,0.0013398,0.0023687
0.00085745,0.0013183,0.0023044
0.00087889,0.001179,0.0027867
